year,source,target,value
2020,Due to DC growth,LRZ1,57045772.0
2020,Due to Residential growth,LRZ1,0.0
2020,Due to DC growth,LRZ2_7,124469259.97232382
2020,Due to Residential growth,LRZ2_7,17365942.02767617
2020,Due to DC growth,LRZ3_5,349715841.25994736
2020,Due to Residential growth,LRZ3_5,5103507.140052584
2020,Due to DC growth,LRZ4,0.0
2020,Due to Residential growth,LRZ4,663148550.0
2020,Due to DC growth,LRZ6,163148000.0
2020,Due to Residential growth,LRZ6,0.0
2020,Due to DC growth,LRZ8_9_10,6017449.7367896885
2020,Due to Residential growth,LRZ8_9_10,188313551.2632103
2021,Due to DC growth,LRZ1,135194071.5
2021,Due to Residential growth,LRZ1,0.0
2021,Due to DC growth,LRZ2_7,221643136.0
2021,Due to Residential growth,LRZ2_7,0.0
2021,Due to DC growth,LRZ3_5,231699696.44402918
2021,Due to Residential growth,LRZ3_5,39989474.55597084
2021,Due to DC growth,LRZ4,0.0
2021,Due to Residential growth,LRZ4,206737750.0
2021,Due to DC growth,LRZ6,95109970.08793609
2021,Due to Residential growth,LRZ6,36389429.9120639
2021,Due to DC growth,LRZ8_9_10,70388662.22706987
2021,Due to Residential growth,LRZ8_9_10,169548932.77293012
2022,Due to DC growth,LRZ1,148222612.01
2022,Due to Residential growth,LRZ1,0.0
2022,Due to DC growth,LRZ2_7,186499792.14604658
2022,Due to Residential growth,LRZ2_7,12444657.853953416
2022,Due to DC growth,LRZ3_5,80507501.27115329
2022,Due to Residential growth,LRZ3_5,3511251.7288467023
2022,Due to DC growth,LRZ4,0.0
2022,Due to Residential growth,LRZ4,133118000.0
2022,Due to DC growth,LRZ6,406357219.22225803
2022,Due to Residential growth,LRZ6,50281958.777742
2022,Due to DC growth,LRZ8_9_10,153449763.0395161
2022,Due to Residential growth,LRZ8_9_10,116401990.96048391
2023,Due to DC growth,LRZ1,109769331.03246403
2023,Due to Residential growth,LRZ1,17214283.297535975
2023,Due to DC growth,LRZ2_7,225058249.82631502
2023,Due to Residential growth,LRZ2_7,86971855.17368498
2023,Due to DC growth,LRZ3_5,422987924.5
2023,Due to Residential growth,LRZ3_5,0.0
2023,Due to DC growth,LRZ4,0.0
2023,Due to Residential growth,LRZ4,638614869.0
2023,Due to DC growth,LRZ6,335218998.9282061
2023,Due to Residential growth,LRZ6,80937304.0717939
2023,Due to DC growth,LRZ8_9_10,1803767477.174606
2023,Due to Residential growth,LRZ8_9_10,418303212.825394
2024,Due to DC growth,LRZ1,140927778.01599348
2024,Due to Residential growth,LRZ1,34864854.98400653
2024,Due to DC growth,LRZ2_7,295923578.88099456
2024,Due to Residential growth,LRZ2_7,282032421.1190055
2024,Due to DC growth,LRZ3_5,233512502.16224936
2024,Due to Residential growth,LRZ3_5,43060237.837750636
2024,Due to DC growth,LRZ4,0.0
2024,Due to Residential growth,LRZ4,220100000.0
2024,Due to DC growth,LRZ6,190331518.98101157
2024,Due to Residential growth,LRZ6,270405561.0189884
2024,Due to DC growth,LRZ8_9_10,362460671.7827179
2024,Due to Residential growth,LRZ8_9_10,175978569.21728215
2025,Due to DC growth,LRZ1,289502087.9368721
2025,Due to Residential growth,LRZ1,100190332.72979453
2025,Due to DC growth,LRZ2_7,473368218.8344078
2025,Due to Residential growth,LRZ2_7,543015781.1655922
2025,Due to DC growth,LRZ3_5,924967425.713619
2025,Due to Residential growth,LRZ3_5,312214331.45304775
2025,Due to DC growth,LRZ4,0.0
2025,Due to Residential growth,LRZ4,262212831.16666663
2025,Due to DC growth,LRZ6,407785593.99381673
2025,Due to Residential growth,LRZ6,623156904.0061834
2025,Due to DC growth,LRZ8_9_10,1464116844.7456388
2025,Due to Residential growth,LRZ8_9_10,813441038.2543609
